Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
7\M-8.wav,M,1.0019596,1.8283255,1.2390816,1.2218602,0.5355653,-177.10187,-63.964096,-119.5233,32.45602,-10.821954,17.466896,-24.040867,27.969303,-16.420826,16.509039,-0.14237954,-5.413932,-18.924328,0.0,24.956456214109977,0.0,0.07396432,37.731705197661654,1.2387636,146.0723493358682,0.34329292,0.0,0.01416015625,0.08071150723844767,0.0062777316
7\M-9.wav,M,0.73441184,1.2721063,1.0671953,1.0121739,0.45342892,-80.64986,-32.424007,-85.514565,-14.949339,-7.869418,41.514397,-11.769457,30.981688,-31.632996,10.210667,-1.8783898,-19.676975,-14.5348,0.0,22.721351971282157,0.0,0.17313112,50.073001608821215,0.5797411,136.51872545537626,0.42309487,0.0,0.01806640625,0.2483966238796711,0.011013056
7\M.wav,M,0.008252026,1.0959442,0.14290221,0.4476485,0.063453324,-60.156868,6.3836384,-85.555,1.2478154,6.626218,18.992233,-6.221991,-1.4046044,-26.167835,1.243617,-15.729162,15.219964,-13.9009495,0.0,19.802232178480025,0.0,0.19287436,46.43548008609691,1.0294425,121.36965618361339,0.7197549,0.0,0.052734375,0.3061518697068095,0.012226537
7\V-10.wav,V,0.49477983,-0.39522704,-0.21842678,0.3540516,-0.30968946,35.098602,-32.310513,21.205677,7.211652,-18.79174,33.576183,-15.062686,19.7015,-5.8913774,1.5754217,-5.3644476,-4.0489902,-1.3959585,0.0,19.296045319280715,0.0,0.1690829,69.82617220900063,2.7435312,158.7908807306744,0.18101293,0.0,0.1103515625,2.771793024148792,0.03829174
7\V-100.wav,V,1.3345184,1.3154279,0.79827195,0.6650387,0.4392587,71.9835,-84.00627,-28.333685,24.654947,-27.21056,27.867588,5.6658564,13.582047,-15.594159,10.465541,-17.791996,12.661297,-12.341201,0.0,22.052382335864948,0.0,0.11260469,48.81951895410593,1.6809653,171.95019994721216,0.44182727,0.0,0.1533203125,5.750955262687057,0.06324164
7\V-101.wav,V,1.0580428,0.9069152,0.62386537,0.69703215,0.2922278,94.433754,-59.1523,-31.631342,6.0922856,-32.21483,51.66232,-0.29321828,14.874087,-17.286945,15.69062,-25.596975,13.505283,-12.076562,46.253338,28.08677230927502,30.148920434252005,0.13057713,55.85999551126517,1.7600797,164.13787908922006,0.3490958,0.029580085,0.4342447916666667,12.11561656727766,0.09344361
7\V-102.wav,V,0.83912987,0.4847228,0.5896338,0.6035389,0.0442186,65.353806,-47.455956,-31.763866,-12.0828285,-37.622574,41.615196,-12.78699,20.48,-16.55098,9.165629,-21.266804,19.44056,-27.672546,57.76631,32.27754900634389,8.46396511351969,0.15416801,60.21359023311645,1.735297,160.2500335862303,0.31128827,0.018641792,0.30078125,3.758942161919549,0.056630988
7\V-103.wav,V,0.8831187,0.21569425,-0.37927583,-0.1167135,-0.056690354,14.063866,-47.76152,-2.5048165,40.591217,-37.556313,39.991272,5.8477917,23.444233,-25.450624,6.6189,-10.733467,11.0542145,2.9493046,5.8684354,20.978891475817306,4.6925301515651,0.13771844,59.564862973568694,1.8687499,163.09885369130075,0.3246239,0.017720085,0.1533203125,1.1337074982002378,0.035008293
7\V-104.wav,V,0.5545553,0.5030096,0.16219313,0.20988767,-0.29034477,56.656498,-45.40191,-33.52806,9.038514,-12.143934,39.51113,15.110866,-5.382366,-5.8897133,7.301715,-4.6030574,2.0761023,-1.6918192,0.0,17.78548893052728,0.0,0.23306125,56.72653332916968,1.5653881,149.174091942227,0.38303587,0.0,0.15380859375,2.298498895484954,0.03804911
7\V-105.wav,V,0.88979244,0.3505122,0.39553845,0.42312387,-0.34614784,27.407661,-47.38948,-22.060246,-7.173688,-17.285812,71.23367,-21.711334,26.921333,-23.203262,10.118485,-7.032111,17.938982,-9.72118,7.034975,28.125431525189903,0.6332321803363768,0.08189452,59.11246069551824,3.0258622,165.13204591498135,0.25792307,0.0028577691,0.19970703125,2.182955405053993,0.050527
