Filename,Label,LPC2,LPC3,LPC4,LPC5,LPC6,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,SFM,Spectral_Spread,Spectral_Skewness,Spectral_Centroid,Chroma_Mean,Chroma_Var,ZCR,STE,RMS
17\BI-187.wav,BI,0.15054023,0.20388888,0.089087345,0.29655302,0.15872975,-95.76921,-9.640078,-32.6724,-3.1833897,-34.678955,-3.6279173,-30.916252,6.850566,-18.75296,10.571681,-7.179505,10.07546,-7.612201,19.028866,19.084646254987813,3.7327399071364398,0.34209383,129.43001708639903,0.7374796,261.2120210446567,0.5467546,0.0008153459,0.24169921875,0.11632916610687971,0.010051969
17\BI-188.wav,BI,0.018709803,0.25402075,0.20201725,0.3188756,0.15001735,-112.59113,10.294168,-37.757717,-9.70264,-43.195282,-3.9008029,-25.365036,8.85046,-21.756044,13.268325,-20.474094,12.089069,-19.601646,43.743355,20.93092370680087,8.478141138934761,0.29731604,126.88226571694312,1.1967032,239.1903650555971,0.66206527,0.0048119244,0.21923828125,0.10083692613989115,0.009193591
17\BI-189.wav,BI,-0.008864308,0.017875126,0.09438741,0.17977062,0.03204825,-102.25049,5.347679,-19.191471,-4.513814,-32.38913,-1.2851613,-29.244007,-0.48253652,-27.774971,8.658873,-19.754005,2.9758918,-20.803532,38.542873,19.845542807003657,5.312525104113969,0.3709816,136.50050956805416,0.64021987,245.50647578311901,0.51978797,0.0013052922,0.20751953125,0.1125088557600975,0.009444739
17\BI-19.wav,BI,-0.11141473,0.16146027,-0.1248367,0.37709582,0.11186528,-69.777,8.887031,-28.491943,8.872597,-42.672325,-3.9013667,-23.701138,5.0251107,-18.391048,8.511093,-6.999073,18.379509,-12.502094,5.1004033,19.743279471724964,1.0629740405029888,0.31137997,130.020855458484,1.8473585,240.19590052721108,0.62110174,0.0057017053,0.11328125,0.14097096708913645,0.012939088
17\BI-190.wav,BI,0.12591931,0.083524585,0.11608075,0.27192587,0.17731434,-102.746765,-4.285282,-22.200193,-5.12024,-37.248833,-7.618196,-22.28492,6.355803,-25.53981,9.842959,-18.017653,14.174915,-13.579593,15.80168,18.36142245828002,1.959033965103018,0.35374254,134.42102997436825,0.61925125,258.7226049475087,0.5462442,0.0006474321,0.1884765625,0.0809503747150302,0.008878581
17\BI-191.wav,BI,0.1669688,0.12552305,0.15434913,0.23694962,0.13239492,-125.081635,-6.6689467,-27.054907,-6.059805,-33.330345,-2.1574545,-27.819357,7.1433663,-24.574036,7.74732,-13.932129,6.7155595,-12.034167,30.672628,18.455519633394243,2.6221492659318097,0.36411902,132.48727620923813,0.8219349,262.93317236934325,0.5740902,0.0047805742,0.2630208333333333,0.06908487640321255,0.008156016
17\BI-192.wav,BI,-0.09147033,-0.0018429086,0.029004559,0.36610758,0.16395769,-98.86148,9.508021,-19.717377,-0.9435335,-48.509457,-12.904935,-31.43233,3.6385124,-19.175985,10.779605,-20.206675,9.0313635,-13.185616,26.701036,18.655933006316328,5.4352644762039235,0.2975058,135.16335182820026,1.6604704,233.32593045544036,0.6024813,0.0074801855,0.21500651041666666,0.1491736328229308,0.01188119
17\BI-2.wav,BI,0.111528315,0.062312428,0.00892214,0.2024235,0.13215567,-98.86666,0.7395196,-15.279526,9.146293,-26.179031,5.842428,-25.994976,8.065217,-16.15916,17.237541,-6.65042,19.410034,-12.624635,0.0,18.391690730437926,0.0,0.41225106,137.3158281534015,0.94995576,257.37376501388496,0.61133695,0.0,0.119140625,0.09252183511853218,0.008128578
17\BI-20.wav,BI,-0.117351316,0.087806106,0.00089416775,0.20437509,0.041871503,-63.586845,15.21318,-16.790926,7.7468843,-20.647425,6.378109,-13.031485,8.728051,-13.958555,11.083716,-19.404076,11.894908,-9.676102,13.404524,16.093865377916483,1.5985362899409017,0.4576867,135.2219415553217,0.6564748,237.699097188812,0.7130105,0.0013017443,0.1337890625,0.12478755818059047,0.011900834
17\BI-21.wav,BI,-0.12543148,0.03671586,0.13284685,0.41068345,0.23089501,-82.49739,16.570179,-20.845634,-2.6133015,-51.347656,-16.939148,-35.57162,11.240821,-13.655925,19.38751,-14.432957,7.9118857,-28.519348,6.8869963,22.752028701981605,2.2305483529520544,0.19367898,132.04175808420734,2.6686993,218.42735063841798,0.49995744,0.0014631288,0.14892578125,0.18020684147874513,0.0145084495
17\BI-22.wav,BI,-0.12297379,0.109968334,0.073889494,0.30442917,0.20488618,-91.39269,17.712963,-27.541351,2.13114,-40.815674,-6.5547886,-35.776558,6.4354033,-14.5169735,24.009052,-7.947473,16.854889,-15.483602,4.53711,20.705064424163222,1.9156396998723038,0.22763029,130.3703778910961,3.3683984,225.54088023525176,0.5439902,0.0019161291,0.12548828125,0.16020690059910217,0.012089688
17\BI-23.wav,BI,0.010724526,0.057141647,0.049748827,0.295052,0.16432063,-114.81773,6.898796,-21.182539,1.6935258,-38.702103,-5.1466603,-23.539455,4.728401,-20.083088,12.061467,-15.318761,4.981368,-15.1981735,18.219477,17.035309665630496,2.008188932340286,0.36879113,133.8467511394203,0.9518914,243.47668547464798,0.69083554,0.0032661038,0.18896484375,0.0700446565169841,0.008040734
