Filename,Label,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC_Var,Spectral_Contrast_Mean,Spectral_Contrast_Var,Chroma_Mean,Chroma_Var,SFM,Spectral_Centroid,Spectral_Spread,ZCR,STE,Spectral_Skewness
mixed11 (24).wav,mixed,-89.44604,110.79978,-23.39227,-1.4916211,-6.4527903,2275.162,14.502166286993202,12.902292535476054,0.48483133,0.07535695,0.05692259,4581.724214119158,4636.544501741873,0.12259788074712644,35.19580795915765,6.3126464
mixed11 (25).wav,mixed,-86.045105,109.287224,-32.948086,5.7568426,-10.423895,1956.749,15.847182284526527,19.253069180825804,0.4153184,0.09965489,0.041258696,3939.2135450355054,4092.641836658484,0.0995813128591954,50.28461046506667,7.7752004
mixed11 (3).wav,mixed,-151.94637,105.53518,-20.579535,2.376062,2.7023551,3444.2114,14.998403063481367,13.812484101246667,0.47421172,0.08589879,0.05074848,4337.9221770383965,4501.5657882168125,0.11494252873563218,22.226829103490264,7.560215
mixed11 (4).wav,mixed,-166.35338,91.770424,-9.030264,3.9077702,-10.989474,4471.3315,14.423276743355009,13.846111499207163,0.4721181,0.08050452,0.0739581,5190.502231130049,5020.0346473095315,0.1455134249281609,23.109423562087592,7.639828
mixed11 (5).wav,mixed,-141.22687,136.99376,-20.2,9.0018835,-10.052692,1647.9373,16.36212924574141,18.826768092699982,0.41321564,0.09519765,0.0054002777,2821.4442760787374,3819.1472733523196,0.048642914870689655,36.82510324303233,8.146677
mixed11 (6).wav,mixed,-74.34943,90.70625,-28.245754,-6.8229523,-12.444201,1675.388,14.634585445413013,14.793561812814454,0.49727497,0.08083415,0.07513125,5258.180180318659,4933.5678591097,0.1546729076867816,32.479805428890046,5.795095
mixed11 (7).wav,mixed,-87.96371,73.56008,-29.251049,-13.979075,-11.938578,2192.1375,14.452855964159523,14.074045709860481,0.46427846,0.06974349,0.104296096,5873.235359960103,5236.145907119598,0.18032731681034483,26.700365374941445,5.4663625
mixed11 (8).wav,mixed,-174.25082,115.94781,-14.720692,0.12222957,0.7821663,2152.6318,15.068512587202125,17.64216779776336,0.4768949,0.08150811,0.060917053,4196.364374932215,4430.975235685474,0.12121722341954023,19.47719294486858,6.6946125
mixed11 (9).wav,mixed,-165.35455,151.98285,-17.750072,19.58825,-12.23612,1225.1343,17.607395247561787,29.53388881579054,0.37848225,0.10866839,0.0012119965,2055.7843194699944,3172.9087271218727,0.025446749281609195,52.60868214486393,12.256559
mixed11.wav,mixed,-87.94767,100.21534,-29.206902,-4.8445997,-11.230059,2319.358,15.645610750329189,25.808315936677104,0.44148445,0.093883105,0.052779615,4526.75871838152,4616.183734629183,0.11671605603448276,46.24714395457158,7.6559453
mixed12 (10).wav,mixed,-155.12933,189.2127,-8.796048,21.674204,3.4249134,901.58044,14.883588797018072,14.76762914734478,0.5448181,0.078771874,0.00081809086,1567.8006673215295,2667.367554511172,0.02699016702586207,44.99823517265132,9.234476
mixed12 (11).wav,mixed,-209.13724,156.44533,-12.53102,33.19884,14.519548,1183.111,17.627485394269787,26.564791408428025,0.42149198,0.10164833,0.0015469182,2121.7088328409386,3135.7383865586526,0.03800736350574713,17.58058842678549,10.624273
mixed12 (12).wav,mixed,-148.22447,149.75185,-10.388398,9.75301,3.6048167,2153.8315,15.017165293005736,15.99391213329137,0.4740602,0.07132004,0.034727424,3334.133436392013,3842.172455005167,0.09098868534482758,26.263311855371157,7.060815
mixed12 (13).wav,mixed,-185.50868,119.724236,-12.978826,0.53843033,5.3911524,2798.6362,14.374237110668279,13.979871006797595,0.47498107,0.07867285,0.052569993,4360.013804788661,4731.860313494162,0.11713698814655173,16.519061977722053,6.712629
mixed12 (14).wav,mixed,-208.3385,107.97322,-7.7509212,0.08648451,-0.24404056,3647.3386,14.315368127092814,14.43552237311927,0.54557806,0.06191099,0.071575694,4894.898581237804,5029.285135543524,0.13876167385057472,8.853408212606617,5.917343
